d,D,B,C,C0,designation,cell
17,40,12,9.95,4.75,6203,9011
17,40,12,9.95,4.75,6203NR,2216
17,40,12,9.95,4.75,6203-2RSH,6522
17,40,12,9.95,4.75,6203-2RSH/VA947,4002
17,40,12,9.95,4.75,6203-2RSL,6657
17,40,12,9.56,4.75,6203-2RSLTN9/HC5C3WT,5563
17,40,12,9.95,4.75,6203-2Z,1953
17,40,12,9.95,4.75,6203-2ZNR,6186
17,40,12,9.95,4.75,6203-RSH,6141
17,40,12,9.95,4.75,6203-Z,3875
17,40,12,8.06,4.75,W 6203,8346
17,40,12,8.06,4.75,W 6203-2RS1,6666
17,40,12,8.06,4.75,W 6203-2RS1/VP311,2943
17,40,12,8.06,4.75,W 6203-2Z,4206
17,40,12,20,14.3,N 203 ECP,7665
17,40,12,20,14.3,N 203 ECPH,1322
17,40,12,20,14.3,NJ 203 ECP,3532
17,40,12,20,14.3,NJ 203 ECPHA,2789
17,40,12,20,14.3,NU 203 ECP,4931
17,40,12,20,14.3,NU 203ECPHA,2418
17,40,12,20,14.3,NUP 203 ECP,6387
17,40,12,12.5,6.7,7203 ACCBM,8719
17,40,12,8.84,4,7203 ACD/HCP4A,2405
17,40,12,8.84,4,7203 ACD/P4A,7667
17,40,12,8.84,4,7203 ACDGA/HCP4A,2204
17,40,12,8.84,4,7203 ACDGA/P4A,9170
17,40,12,8.84,4,7203 ACDGB/P4A,7029
17,40,12,10.4,5.5,7203 BE-2RZP,8691
17,40,12,11,5.85,7203 BECBM,3351
17,40,12,11,5.85,7203 BECBP,3589
17,40,12,11,5.85,7203 BEGAP,1427
17,40,12,10.4,5.5,7203 BEP,4645
17,40,12,10.4,5.5,7203 BEY,7810
17,40,12,9.23,4.15,7203 CD/HCP4A,4604
17,40,12,9.23,4.15,7203 CD/P4A,1283
17,40,12,9.23,4.15,7203 CDGA/HCP4A,6234
17,40,12,9.23,4.15,7203 CDGA/P4A,4689
17,40,12,9.23,4.15,7203 CDGA/P4AGMM,1137
17,40,12,9.23,4.15,7203 CDGB/HCP4A,7794
17,40,12,9.23,4.15, 7203 CDGB/P4A,6308
17,40,12,8.84,4,S7203 ACD/HCP4A,4130
17,40,12,9.23,4.15,S7203 CD/P4A,2884
17,40,12,9.23,4.15,S7203 CDGA/HCP4A,6260
17,40,16,9.56,4.75,62203-2RS1,6137
17,40,16,27.5,21.6,NJ 2203 ECP,4802
17,40,16,27.5,21.6,NU 2203 ECP,8710
17,40,16,27.5,21.6,NUP 2203 ECP,1335
17,40,16,8.84,4,7203 ACDGC/P4A,7219
17,40,17.5,14.3,8.8,3203 A-2RS1TN9/C3,1069
17,40,17.5,14.3,8.8,3203 A-2RS1TN9/C3MT33,7537
17,40,17.5,14.3,8.8,3203 A-2RS1TN9/GWK9,2404
17,40,17.5,14.3,8.8,3203 A-2RS1TN9/MT33,9311
17,40,17.5,14.3,8.8,3203 A-2ZTN9/C3WT,6941
17,40,17.5,14.3,8.8,3203 A-2ZTN9/MT33,2486
17,40,17.5,14.3,8.8,3203 ATN9,3618
20,42,12,9.95,5,6004,6511
20,42,12,9.95,5,6004-2RSH,9552
20,42,12,9.95,5,6004-2RSH/VA947,9025
20,42,12,9.95,5,6004-2RSL,9926
20,42,12,9.36,5,6004-2RSLTN9/HC5C3WT,6519
20,42,12,9.95,5,6004-2Z,7145
20,42,12,9.95,5,6004-RSH,4997
20,42,12,9.95,5,6004-RSL,1546
20,42,12,8.06,5,W 6004,4414
20,42,12,8.06,5,W 6004-2RS1,8480
20,42,12,8.06,5,W 6004-2RS1/VP311,2429
20,42,12,8.06,5,W 6004-2Z,9785
15,42,13,11.9,5.4,6302,1773
15,42,13,11.9,5.4,6302-2RSH,7489
15,42,13,11.9,5.4,6302-2RSH/VA947,5671
15,42,13,11.9,5.4,6302-2RSL,8666
15,42,13,11.9,5.4,6302-2Z,9576
15,42,13,11.9,5.4,6302-RSH,7186
15,42,13,11.9,5.4,6302-Z,8491
15,42,13,9.95,5.4,W 6302,3895
15,42,13,9.95,5.4,W 6302-2RS1,7114
15,42,13,9.95,5.4,W 6302-2Z,8021
15,42,17,14.8,9.5,4302 ATN9,7084
15,42,17,11.4,5.4,62302-2RS1,1015
